Fri Aug 28 2015 20:54:21 GMT+0800 (China Standard Time),,s1w43,focus,
Fri Aug 28 2015 20:54:21 GMT+0800 (China Standard Time),,s1w44,focus,
Fri Aug 28 2015 20:54:21 GMT+0800 (China Standard Time),,s1w45,focus,
Fri Aug 28 2015 20:54:22 GMT+0800 (China Standard Time),,s1w46,focus,
Fri Aug 28 2015 20:54:22 GMT+0800 (China Standard Time),,s1w47,focus,
Fri Aug 28 2015 20:54:22 GMT+0800 (China Standard Time),,s1w48,focus,
Fri Aug 28 2015 20:54:22 GMT+0800 (China Standard Time),,s1w49,focus,
Fri Aug 28 2015 20:54:23 GMT+0800 (China Standard Time),,s1w50,focus,
Fri Aug 28 2015 20:54:23 GMT+0800 (China Standard Time),,s1w51,focus,
Fri Aug 28 2015 20:54:24 GMT+0800 (China Standard Time),,s1w52,focus,
Fri Aug 28 2015 20:54:24 GMT+0800 (China Standard Time),,s1w53,focus,
Fri Aug 28 2015 20:54:25 GMT+0800 (China Standard Time),,s1w54,focus,
Fri Aug 28 2015 20:54:25 GMT+0800 (China Standard Time),,s1w55,focus,
Fri Aug 28 2015 20:54:25 GMT+0800 (China Standard Time),,s1w56,focus,
Fri Aug 28 2015 20:54:26 GMT+0800 (China Standard Time),,s1w57,focus,
Fri Aug 28 2015 20:54:26 GMT+0800 (China Standard Time),,s1w58,focus,
Fri Aug 28 2015 20:54:26 GMT+0800 (China Standard Time),,s1w59,focus,
Fri Aug 28 2015 20:54:26 GMT+0800 (China Standard Time),,s1w60,focus,
Fri Aug 28 2015 20:54:27 GMT+0800 (China Standard Time),,s1w61,focus,
Fri Aug 28 2015 20:54:27 GMT+0800 (China Standard Time),,s1w62,focus,
Fri Aug 28 2015 20:54:27 GMT+0800 (China Standard Time),,s1w63,focus,
Fri Aug 28 2015 20:54:28 GMT+0800 (China Standard Time),,s1w64,focus,
Fri Aug 28 2015 20:54:28 GMT+0800 (China Standard Time),,s1w65,focus,
Fri Aug 28 2015 20:54:29 GMT+0800 (China Standard Time),,s1w66,focus,
Fri Aug 28 2015 20:54:29 GMT+0800 (China Standard Time),,s1w67,focus,
Fri Aug 28 2015 20:54:29 GMT+0800 (China Standard Time),,s1w68,focus,
Fri Aug 28 2015 20:54:29 GMT+0800 (China Standard Time),,s1w69,focus,
Fri Aug 28 2015 20:54:30 GMT+0800 (China Standard Time),,s1w70,focus,
Fri Aug 28 2015 20:54:35 GMT+0800 (China Standard Time),,s1w71,focus,
Fri Aug 28 2015 20:54:43 GMT+0800 (China Standard Time),,s1w71,label,"N"
Fri Aug 28 2015 20:54:44 GMT+0800 (China Standard Time),,s1w72,focus,
Fri Aug 28 2015 20:54:45 GMT+0800 (China Standard Time),,s1w73,focus,
Fri Aug 28 2015 20:54:45 GMT+0800 (China Standard Time),,s1w74,focus,
Fri Aug 28 2015 20:54:46 GMT+0800 (China Standard Time),,s1w75,focus,
Fri Aug 28 2015 20:54:46 GMT+0800 (China Standard Time),,s1w76,focus,
Fri Aug 28 2015 20:54:46 GMT+0800 (China Standard Time),,s1w77,focus,
Fri Aug 28 2015 20:54:46 GMT+0800 (China Standard Time),,s1w78,focus,
Fri Aug 28 2015 20:54:46 GMT+0800 (China Standard Time),,s1w79,focus,
Fri Aug 28 2015 20:54:47 GMT+0800 (China Standard Time),,s1w80,focus,
Fri Aug 28 2015 20:54:47 GMT+0800 (China Standard Time),,s1w81,focus,
Fri Aug 28 2015 20:54:47 GMT+0800 (China Standard Time),,s1w82,focus,
