Thu Aug 27 2015 13:44:06 GMT+0800 (China Standard Time),,s1w44,focus,
Thu Aug 27 2015 13:44:07 GMT+0800 (China Standard Time),,s1w45,focus,
Thu Aug 27 2015 13:44:08 GMT+0800 (China Standard Time),,s1w46,focus,
Thu Aug 27 2015 13:44:09 GMT+0800 (China Standard Time),,s1w47,focus,
Thu Aug 27 2015 13:44:10 GMT+0800 (China Standard Time),,s1w47,label,"N"
Thu Aug 27 2015 13:44:10 GMT+0800 (China Standard Time),,s1w48,focus,
Thu Aug 27 2015 13:44:11 GMT+0800 (China Standard Time),,s1w49,focus,
Thu Aug 27 2015 13:44:11 GMT+0800 (China Standard Time),,s1w50,focus,
Thu Aug 27 2015 13:44:11 GMT+0800 (China Standard Time),,s1w51,focus,
Thu Aug 27 2015 13:44:11 GMT+0800 (China Standard Time),,s1w52,focus,
Thu Aug 27 2015 13:44:12 GMT+0800 (China Standard Time),,s1w53,focus,
Thu Aug 27 2015 13:44:13 GMT+0800 (China Standard Time),,s1w53,label,"^"
Thu Aug 27 2015 13:44:13 GMT+0800 (China Standard Time),,s1w54,focus,
Thu Aug 27 2015 13:44:14 GMT+0800 (China Standard Time),,s1w55,focus,
Thu Aug 27 2015 13:44:15 GMT+0800 (China Standard Time),,s1w56,focus,
Thu Aug 27 2015 13:44:15 GMT+0800 (China Standard Time),,s1w57,focus,
Thu Aug 27 2015 13:44:16 GMT+0800 (China Standard Time),,s1w58,focus,
Thu Aug 27 2015 13:44:16 GMT+0800 (China Standard Time),,s1w59,focus,
Thu Aug 27 2015 13:44:16 GMT+0800 (China Standard Time),,s1w60,focus,
Thu Aug 27 2015 13:44:17 GMT+0800 (China Standard Time),,s1w61,focus,
Thu Aug 27 2015 13:44:17 GMT+0800 (China Standard Time),,s1w62,focus,
Thu Aug 27 2015 13:44:17 GMT+0800 (China Standard Time),,s1w63,focus,
Thu Aug 27 2015 13:44:17 GMT+0800 (China Standard Time),,s1w64,focus,
Thu Aug 27 2015 13:44:18 GMT+0800 (China Standard Time),,s1w65,focus,
Thu Aug 27 2015 13:44:18 GMT+0800 (China Standard Time),,s1w66,focus,
Thu Aug 27 2015 13:44:18 GMT+0800 (China Standard Time),,s1w67,focus,
Thu Aug 27 2015 13:44:19 GMT+0800 (China Standard Time),,s1w68,focus,
Thu Aug 27 2015 13:44:20 GMT+0800 (China Standard Time),,s1w69,focus,
Thu Aug 27 2015 13:44:21 GMT+0800 (China Standard Time),,s1w70,focus,
Thu Aug 27 2015 13:44:21 GMT+0800 (China Standard Time),,s1w71,focus,
Thu Aug 27 2015 13:44:22 GMT+0800 (China Standard Time),,s1w72,focus,
Thu Aug 27 2015 13:44:22 GMT+0800 (China Standard Time),,s1w73,focus,
Thu Aug 27 2015 13:44:23 GMT+0800 (China Standard Time),,s1w74,focus,
Thu Aug 27 2015 13:44:23 GMT+0800 (China Standard Time),,s1w75,focus,
Thu Aug 27 2015 13:44:23 GMT+0800 (China Standard Time),,s1w76,focus,
Thu Aug 27 2015 13:44:24 GMT+0800 (China Standard Time),,s1w77,focus,
Thu Aug 27 2015 13:44:24 GMT+0800 (China Standard Time),,s1w78,focus,
Thu Aug 27 2015 13:44:25 GMT+0800 (China Standard Time),,s1w78,label,"^"
Thu Aug 27 2015 13:44:25 GMT+0800 (China Standard Time),,s1w79,focus,
Thu Aug 27 2015 13:44:25 GMT+0800 (China Standard Time),,s1w80,focus,
Thu Aug 27 2015 13:44:26 GMT+0800 (China Standard Time),,s1w81,focus,
Thu Aug 27 2015 13:44:26 GMT+0800 (China Standard Time),,s1w82,focus,
Thu Aug 27 2015 13:44:26 GMT+0800 (China Standard Time),,s1w83,focus,
Thu Aug 27 2015 13:44:26 GMT+0800 (China Standard Time),,s1w84,focus,
Thu Aug 27 2015 13:44:27 GMT+0800 (China Standard Time),,s1w85,focus,
Thu Aug 27 2015 13:44:27 GMT+0800 (China Standard Time),,s1w86,focus,
Thu Aug 27 2015 13:44:27 GMT+0800 (China Standard Time),,s1w87,focus,
Thu Aug 27 2015 13:44:27 GMT+0800 (China Standard Time),,s1w88,focus,
Thu Aug 27 2015 13:44:28 GMT+0800 (China Standard Time),,s1w89,focus,
Thu Aug 27 2015 13:44:29 GMT+0800 (China Standard Time),,s1w90,focus,
Thu Aug 27 2015 13:44:30 GMT+0800 (China Standard Time),,s1w91,focus,
Thu Aug 27 2015 13:44:30 GMT+0800 (China Standard Time),,s1w92,focus,
Thu Aug 27 2015 13:44:31 GMT+0800 (China Standard Time),,s1w93,focus,
Thu Aug 27 2015 13:44:31 GMT+0800 (China Standard Time),,s1w94,focus,
Thu Aug 27 2015 13:44:31 GMT+0800 (China Standard Time),,s1w95,focus,
Thu Aug 27 2015 13:44:32 GMT+0800 (China Standard Time),,s1w96,focus,
Thu Aug 27 2015 13:44:33 GMT+0800 (China Standard Time),,s1w96,label,"^"
Thu Aug 27 2015 13:44:33 GMT+0800 (China Standard Time),,s1w97,focus,
Thu Aug 27 2015 13:44:33 GMT+0800 (China Standard Time),,s1w98,focus,
Thu Aug 27 2015 13:44:33 GMT+0800 (China Standard Time),,s1w99,focus,
Thu Aug 27 2015 13:44:34 GMT+0800 (China Standard Time),,s1w100,focus,
Thu Aug 27 2015 13:44:34 GMT+0800 (China Standard Time),,s1w101,focus,
Thu Aug 27 2015 13:44:35 GMT+0800 (China Standard Time),,s1w102,focus,
Thu Aug 27 2015 13:44:35 GMT+0800 (China Standard Time),,s1w103,focus,
Thu Aug 27 2015 13:44:35 GMT+0800 (China Standard Time),,s1w104,focus,
Thu Aug 27 2015 13:44:36 GMT+0800 (China Standard Time),,s1w105,focus,
Thu Aug 27 2015 13:44:36 GMT+0800 (China Standard Time),,s1w106,focus,
Thu Aug 27 2015 13:44:36 GMT+0800 (China Standard Time),,s1w107,focus,
Thu Aug 27 2015 13:44:36 GMT+0800 (China Standard Time),,s1w108,focus,
Thu Aug 27 2015 13:44:37 GMT+0800 (China Standard Time),,s1w109,focus,
Thu Aug 27 2015 13:44:40 GMT+0800 (China Standard Time),,,submitPage,
